,Title,Season,Episode,Player,Captain,OR,DR,TR,ROR,RDR,RTR,TMVP,EMVP,OPOE,DPOE,RLOW,OPOS,DPOS,FUJI9,CUSHN,ANMRI
0,01x01,1,1,David Mitchell,David Mitchell,6.75,0.0,6.75,1.12,0.0,1.12,False,False,False,False,False,False,False,1.04,1.12,6.75
1,01x01,1,1,Duncan Bannatyne,David Mitchell,9.0,0.0,9.0,3.38,0.0,3.38,False,False,True,False,False,True,False,1.5,3.38,9.0
2,01x01,1,1,Frankie Boyle,David Mitchell,4.5,6.0,10.5,-1.12,4.8,3.68,True,False,False,True,False,False,False,2.21,4.88,7.5
3,01x01,1,1,Lee Mack,Lee Mack,6.75,3.0,9.75,0.0,1.2,1.2,False,False,False,False,False,False,False,1.06,3.0,9.75
4,01x01,1,1,Natalie Cassidy,Lee Mack,6.75,0.0,6.75,0.0,-1.2,-1.2,False,False,False,False,False,False,False,0.53,0.0,6.75
5,01x01,1,1,Dom Joly,Lee Mack,9.0,3.0,12.0,2.25,1.8,4.05,True,True,False,False,False,False,False,2.53,5.25,11.25
6,01x02,1,2,David Mitchell,David Mitchell,3.0,3.6,6.6,0.0,-2.16,-2.16,False,False,False,False,False,False,False,0.65,3.6,6.6
7,01x02,1,2,Patrick McGuiness,David Mitchell,6.0,7.5,13.5,3.0,2.46,5.46,True,False,True,True,False,False,False,2.79,10.5,13.5
8,01x02,1,2,Fay Ripley,David Mitchell,3.0,9.0,12.0,0.0,2.16,2.16,False,False,False,False,False,False,False,1.29,9.0,7.5
9,01x02,1,2,Lee Mack,Lee Mack,0.0,9.0,9.0,0.0,4.8,4.8,True,True,False,False,False,False,False,1.69,9.0,9.0
10,01x02,1,2,John Barrowman,Lee Mack,3.0,6.0,9.0,3.0,2.4,5.4,False,False,False,False,False,False,False,2.78,9.0,6.0
11,01x02,1,2,Dominic Wood,Lee Mack,0.0,0.0,0.0,0.0,-2.4,-2.4,False,False,False,False,False,False,False,0.67,0.0,0.0
12,01x03,1,3,David Mitchell,David Mitchell,6.0,6.0,12.0,0.0,0.9,0.9,False,False,False,False,False,False,False,0.97,6.0,9.0
13,01x03,1,3,Eamonn Holmes,David Mitchell,6.0,3.0,9.0,0.0,-0.9,-0.9,False,False,False,False,False,False,False,0.48,3.0,9.0
14,01x03,1,3,Dara O Brien,David Mitchell,9.0,9.0,18.0,3.0,3.3,6.3,True,True,True,True,False,False,False,2.93,12.0,18.0
15,01x03,1,3,Lee Mack,Lee Mack,4.5,3.6,8.1,1.12,1.44,2.56,False,False,False,False,False,False,False,2.17,4.72,8.1
16,01x03,1,3,Jimmy Carr,Lee Mack,4.5,0.0,4.5,1.12,-1.44,-0.32,False,False,False,False,False,False,False,1.6,1.12,4.5
17,01x03,1,3,Ulrika Jonsson,Lee Mack,2.25,6.0,8.25,-1.12,3.36,2.24,True,False,False,False,False,False,False,2.02,4.88,5.25
18,01x04,1,4,David Mitchell,David Mitchell,2.25,0.0,2.25,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0.0,2.25
19,01x04,1,4,Myleene Klass,David Mitchell,4.5,3.6,8.1,2.25,2.88,5.13,True,False,True,False,False,False,False,2.73,5.85,8.1
20,01x04,1,4,Jason Manford,David Mitchell,2.25,0.0,2.25,0.0,0.0,0.0,False,False,False,False,False,False,False,0.0,0.0,2.25
