,Player,Appearances,OR,DR,TR,ROR,RDR,RTR,TMVP,EMVP,OPOE,DPOE,RLOW,OPOS,DPOS,FUJI9,CUSHN,ANMRI,Awards
0,David Mitchell,140,5.86,2.89,8.75,0.68,0.59,1.27,47,25,19,19,0,2,0,1.23,3.57,8.42,112
3,Lee Mack,140,5.77,2.59,8.36,0.79,0.38,1.17,43,23,31,14,0,4,0,1.22,3.38,7.87,115
141,Bob Mortimer,11,5.11,3.27,8.39,0.36,1.15,1.5099999999999998,1,1,0,3,2,0,0,1.54,3.63,7.33,7
140,Richard Osman,10,7.65,3.0,10.65,1.46,0.88,2.34,4,1,3,1,1,1,0,1.65,4.46,10.39,11
50,Jo Brand,9,6.17,5.0,11.17,0.38,2.93,3.31,5,2,2,3,3,0,1,1.35,5.38,10.08,16
90,Rhod Gilbert,9,7.0,4.17,11.17,0.75,1.48,2.23,3,1,2,2,0,1,0,1.28,4.92,9.71,9
23,Claudia Winkleman,7,5.36,6.21,11.57,0.56,3.56,4.12,6,3,1,5,1,0,2,1.71,6.78,9.59,18
15,Jason Manford,7,5.57,1.71,7.29,0.05,0.51,0.56,1,1,0,0,0,0,0,0.79,1.77,6.43,2
28,Gabby Logan,6,5.75,4.2,9.95,0.5,1.66,2.16,3,0,1,0,2,0,0,1.43,4.7,8.83,6
166,Henning Wehn,6,4.0,3.0,7.0,0.0,0.88,0.88,1,1,0,1,1,0,0,0.71,3.0,5.5,4
130,Miles Jupp,6,4.12,1.5,5.62,-0.19,0.72,0.53,1,0,0,0,3,0,0,0.94,1.31,5.12,4
61,Miranda Hart,5,7.05,6.6,13.65,1.39,3.55,4.9399999999999995,3,2,1,2,0,0,0,2.25,7.99,12.75,8
54,Stephen Mangan,5,7.2,5.52,12.72,0.36,2.43,2.79,2,2,1,2,1,0,0,1.86,5.88,12.12,8
87,Sarah Millican,5,2.7,4.2,6.9,-0.11,0.82,0.71,2,1,1,1,1,0,1,1.4,4.09,5.4,7
126,Alex Jones,4,5.25,7.88,13.12,-0.09,4.81,4.72,2,1,1,3,1,0,2,2.06,7.78,9.65,10
295,Chris McCausland,4,6.75,5.62,12.38,1.4,2.89,4.29,2,2,1,2,0,0,0,1.84,7.03,9.56,7
159,Josh Widdicombe,4,4.88,7.12,12.0,0.8,5.06,5.859999999999999,3,1,1,3,0,0,1,2.24,7.92,10.03,9
244,Sara Pascoe,4,4.5,6.0,10.5,0.38,3.26,3.6399999999999997,3,1,0,0,0,0,0,1.55,6.38,7.69,4
117,Jon Richardson,4,5.62,4.5,10.12,0.84,1.02,1.8599999999999999,0,0,0,0,0,0,0,1.84,5.35,8.16,0
125,Mel Giedroyc,4,5.85,3.9,9.75,0.22,0.38,0.6,1,1,0,0,1,0,0,1.72,4.12,8.25,3
112,Greg Davies,4,5.25,4.12,9.38,0.84,3.1,3.94,2,1,1,1,1,0,1,1.72,4.97,8.34,7
11,Dara O Brien,4,5.62,3.75,9.38,0.75,1.66,2.41,2,2,1,2,0,0,0,1.11,4.5,9.38,7
12,Jimmy Carr,4,4.5,3.75,8.25,0.0,1.32,1.32,1,1,1,1,0,0,0,1.75,3.75,7.12,4
251,James Acaster,3,7.0,7.0,14.0,0.0,3.28,3.28,2,2,2,2,0,0,0,1.24,7.0,10.5,8
40,Hugh Dennis,3,6.5,4.5,11.0,1.13,1.94,3.07,2,2,1,2,0,0,1,1.86,5.63,10.0,8
198,Joe Lycett,3,7.0,4.0,11.0,-0.5,1.84,1.34,1,1,0,1,0,0,0,1.09,3.5,11.0,3
2,Frankie Boyle,3,6.0,4.0,10.0,-0.37,2.4,2.03,1,0,0,1,0,0,0,1.18,3.63,9.0,2
133,Clare Balding,3,4.0,4.0,8.0,-0.56,-0.33,-0.8900000000000001,1,1,0,1,0,0,0,1.0,3.44,6.75,3
63,Jack Whitehall,3,4.75,0.0,4.75,-0.37,-0.88,-1.25,0,0,0,0,0,0,0,0.54,-0.37,4.75,0
18,Russell Howard,3,4.2,0.0,4.2,-1.0,-0.8,-1.8,0,0,0,0,0,0,0,0.6,-1.0,4.2,0
120,Victoria Coren,2,6.3,9.0,15.3,1.24,3.68,4.92,1,1,1,1,0,0,0,2.54,10.24,13.05,4
78,Ruth Jones,2,9.0,6.3,15.3,2.25,1.8,4.05,1,1,2,1,1,0,1,2.49,8.55,15.3,7
302,Guz Khan,2,7.88,6.0,13.88,0.84,2.16,3.0,1,1,1,1,0,0,0,1.58,6.84,13.12,4
7,Fay Ripley,2,6.0,7.5,13.5,1.12,3.48,4.6,1,1,0,1,0,0,0,2.14,8.62,9.75,3
298,Asim Chaudhry,2,6.0,6.75,12.75,2.53,2.05,4.58,1,1,1,1,0,0,0,2.06,9.28,9.94,4
330,Raj Bisram,2,6.08,6.3,12.38,0.0,2.88,2.88,1,1,0,0,0,0,0,1.38,6.3,10.12,2
306,Alice Levine,2,7.5,4.8,12.3,2.53,1.27,3.8,1,1,1,1,0,1,0,1.54,7.33,10.8,5
188,Roisin Conaty,2,6.0,6.3,12.3,1.5,1.44,2.94,1,0,0,0,0,0,0,1.86,7.8,10.05,1
52,Carol Vorderman,2,7.5,4.5,12.0,0.75,2.4,3.15,1,1,0,1,0,0,0,1.42,5.25,9.75,3
316,Tom Allen,2,7.5,4.5,12.0,0.0,2.28,2.28,1,0,0,1,0,0,0,1.0,4.5,10.5,2
76,Sanjeev Bhaskar,2,6.75,4.8,11.55,0.84,-0.33,0.51,1,1,1,0,0,0,0,0.9,5.64,10.05,3
325,Lou Sanders,2,4.5,6.75,11.25,0.0,4.0,4.0,1,0,0,1,0,0,0,1.43,6.75,8.44,2
74,Charlie Brooker,2,6.75,4.5,11.25,0.75,1.08,1.83,1,0,0,0,0,0,0,1.59,5.25,9.0,1
213,Romesh Ranganathan,2,3.38,6.3,9.68,-0.56,3.22,2.66,1,0,0,1,0,0,0,1.6,5.74,7.42,2
53,Fern Britton,2,5.62,3.75,9.38,0.0,1.72,1.72,0,0,0,0,1,0,0,1.18,3.75,8.07,1
106,Katherine Parkinson,2,3.38,5.25,8.62,-0.56,4.23,3.6700000000000004,1,1,0,1,0,0,0,2.42,4.68,7.69,3
81,Kevin Bridges,2,3.75,4.5,8.25,0.0,3.0,3.0,1,0,0,0,1,0,0,0.91,4.5,6.0,2
33,David Baddiel,2,6.75,1.5,8.25,1.69,0.18,1.8699999999999999,0,0,0,0,0,0,0,2.08,3.19,7.88,0
24,Tara Palmer-Tomkinson,2,5.25,3.0,8.25,0.0,1.08,1.08,1,0,1,0,0,0,0,0.64,3.0,6.75,2
37,Davina McCall,2,5.25,3.0,8.25,0.0,0.48,0.48,0,0,0,0,1,0,0,0.5,3.0,6.75,1
105,David O'Doherty,2,5.62,2.25,7.88,-0.56,0.81,0.25,0,0,0,1,2,0,0,1.27,1.69,7.31,3
21,Vic Reeves,2,7.88,0.0,7.88,0.0,-2.92,-2.92,0,0,0,0,0,0,0,0.72,0.0,7.88,0
57,Marcus Brigstocke,2,6.0,1.8,7.8,0.75,0.12,0.87,0,0,0,0,0,0,0,1.4,2.55,7.8,0
224,Diane Morgan,2,6.0,1.5,7.5,0.75,-0.12,0.63,0,0,0,0,0,0,0,1.38,2.25,6.75,0
10,Eamonn Holmes,2,6.0,1.5,7.5,0.0,-1.17,-1.17,0,0,0,0,0,0,0,0.52,1.5,7.5,0
29,Robert Webb,2,6.75,0.0,6.75,0.0,-1.84,-1.84,0,0,0,0,0,0,0,0.61,0.0,6.75,0
202,John Cooper Clarke,2,4.5,1.8,6.3,1.4,0.72,2.12,1,1,1,0,1,0,0,1.69,3.2,6.3,4
122,Barry Cryer,2,6.0,0.0,6.0,-0.75,-0.72,-1.47,0,0,0,0,1,0,0,0.56,-0.75,6.0,1
39,Peter Serafinowicz,2,5.25,0.0,5.25,1.5,-0.6,0.9,0,0,0,0,0,0,0,0.98,1.5,5.25,0
79,Jack Dee,2,4.5,0.75,5.25,0.0,0.03,0.03,1,0,0,0,0,0,0,0.85,0.75,5.06,1
38,Olivia Colman,2,3.75,1.5,5.25,0.0,-0.12,-0.12,0,0,0,0,0,0,0,0.81,1.5,4.5,0
155,Warwick Davis,2,5.25,0.0,5.25,-0.56,-0.72,-1.28,0,0,0,0,1,0,0,0.54,-0.56,5.25,1
228,Katherine Ryan,2,2.25,0.0,2.25,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,2.25,0
299,Samson Kayo,1,9.0,9.0,18.0,3.38,7.2,10.58,1,1,1,1,0,0,1,3.43,12.38,13.5,5
165,Joanna Scanlan,1,9.0,9.0,18.0,4.5,6.0,10.5,1,0,1,1,0,0,1,3.47,13.5,18.0,4
186,Gareth Malone,1,9.0,9.0,18.0,3.38,5.4,8.780000000000001,1,1,1,1,1,0,1,3.26,12.38,15.75,6
175,Adam Buxton,1,9.0,9.0,18.0,3.0,4.56,7.56,1,1,1,1,1,0,0,3.1,12.0,18.0,5
245,Kimberly Wyatt,1,9.0,9.0,18.0,1.69,5.76,7.449999999999999,1,1,1,1,0,0,0,2.98,10.69,13.5,4
264,Jordan Stephens,1,9.0,9.0,18.0,1.5,5.76,7.26,1,1,1,1,0,0,0,2.94,10.5,18.0,4
226,Sara Cox,1,9.0,9.0,18.0,3.38,3.6,6.98,1,0,1,1,0,1,0,3.03,12.38,13.5,4
238,Jason Watkins,1,9.0,9.0,18.0,0.0,6.0,6.0,1,1,0,1,0,0,1,1.82,9.0,13.5,4
148,Armando Iannucci,1,9.0,9.0,18.0,1.69,3.51,5.199999999999999,1,1,1,1,0,0,0,2.71,10.69,18.0,4
296,Angela Scanlon,1,9.0,9.0,18.0,0.0,4.8,4.8,1,1,0,1,0,0,0,1.69,9.0,13.5,3
345,Roman Kemp,1,9.0,9.0,18.0,4.5,0.0,4.5,1,0,1,1,0,0,0,1.65,13.5,13.5,3
279,Scarlett Moffatt,1,9.0,9.0,18.0,0.0,3.6,3.6,1,1,1,1,0,0,0,1.53,9.0,13.5,4
280,Tomasz Schafernaker,1,9.0,9.0,18.0,0.0,3.6,3.6,0,0,0,0,0,0,0,1.53,9.0,13.5,0
150,Denise van Outen,1,9.0,9.0,18.0,0.0,2.16,2.16,1,1,1,1,0,0,0,1.29,9.0,13.5,4
252,Susie Dent,1,9.0,9.0,18.0,0.0,2.16,2.16,1,1,1,1,0,0,0,1.29,9.0,13.5,4
253,Stacey Solomon,1,9.0,9.0,18.0,0.0,2.16,2.16,0,0,0,0,0,0,0,1.29,9.0,18.0,0
17,Neil Morrissey,1,9.0,9.0,18.0,0.0,2.1,2.1,0,0,0,0,0,0,0,1.28,9.0,18.0,0
311,Jennifer Saunders,1,9.0,7.5,16.5,0.0,5.25,5.25,1,1,0,1,0,0,0,1.74,7.5,14.62,3
333,Samantha Morton,1,6.75,9.0,15.75,3.38,5.76,9.14,1,0,1,1,0,0,0,3.29,12.38,15.75,3
100,Patsy Palmer,1,6.75,9.0,15.75,1.12,5.76,6.88,1,1,1,1,0,0,0,2.83,10.12,15.75,4
336,The Rev. Kate Bottley,1,6.75,9.0,15.75,0.0,5.76,5.76,1,1,0,1,0,0,0,1.79,9.0,11.25,3
137,Andy Hamilton,1,6.75,9.0,15.75,1.12,4.56,5.68,1,1,0,1,1,0,0,2.7,10.12,11.25,4
20,Len Goodman,1,6.75,9.0,15.75,0.0,5.4,5.4,0,0,0,1,0,0,0,1.75,9.0,11.25,1
359,Angellica Bell,1,6.75,9.0,15.75,2.25,2.16,4.41,1,1,1,0,0,0,0,2.6,11.25,15.75,3
43,Michael Buerk,1,9.0,6.0,15.0,1.5,6.0,7.5,1,1,1,1,0,0,0,2.96,7.5,13.5,4
259,Craig Parkinson,1,6.0,9.0,15.0,0.0,7.2,7.2,1,1,1,1,0,0,1,1.93,9.0,15.0,5
27,Krishnan Guru-Murthy,1,6.0,9.0,15.0,0.0,4.95,4.95,1,1,1,1,0,0,0,1.7,9.0,10.5,4
221,Martin Kemp,1,9.0,6.0,15.0,1.69,3.0,4.6899999999999995,0,0,0,0,0,0,0,2.63,7.69,13.5,0
209,Sean Lock,1,6.0,9.0,15.0,0.0,4.32,4.32,1,1,1,1,0,0,0,1.63,9.0,10.5,4
46,Michael McIntyre,1,6.0,9.0,15.0,-1.5,5.55,4.05,1,1,0,1,0,0,0,2.34,7.5,10.5,3
289,Ronan Keating,1,9.0,6.0,15.0,1.69,2.16,3.85,1,0,0,1,0,0,0,2.48,7.69,15.0,2
393,Josie Gibson,1,9.0,6.0,15.0,1.5,2.16,3.66,0,0,0,1,0,0,0,2.44,7.5,13.5,1
64,Christine Bleakley,1,9.0,6.0,15.0,0.0,3.6,3.6,1,1,0,1,0,0,0,1.53,6.0,13.5,3
95,Deborah Meaden,1,6.0,9.0,15.0,0.0,3.6,3.6,0,0,0,0,1,0,0,1.53,9.0,15.0,1
249,Anita Rani,1,9.0,6.0,15.0,0.0,3.6,3.6,1,1,1,1,0,0,0,1.53,6.0,12.0,4
73,Michael Ball,1,9.0,6.0,15.0,1.5,1.2,2.7,0,0,1,0,1,0,0,2.21,7.5,12.0,2
392,Steven Bartlett,1,9.0,6.0,15.0,1.5,0.96,2.46,1,1,0,0,0,0,0,2.13,7.5,15.0,2
77,Martin Clunes,1,9.0,6.0,15.0,1.69,0.6,2.29,0,0,0,0,1,0,0,2.03,7.69,13.5,1
267,Denise Lewis,1,9.0,6.0,15.0,0.0,1.92,1.92,1,1,0,1,0,0,0,1.24,6.0,12.0,3
134,Sally Phillips,1,9.0,6.0,15.0,0.0,1.65,1.65,0,0,0,0,1,0,0,1.18,6.0,15.0,1
380,Bobby Seagull,1,9.0,6.0,15.0,0.0,1.11,1.11,1,1,0,1,0,0,0,1.04,6.0,12.0,3
297,Greg James,1,5.4,9.0,14.4,0.9,3.6,4.5,1,0,1,1,0,0,0,2.5,9.9,9.9,3
86,Ronnie Corbett,1,9.0,4.5,13.5,4.5,3.3,7.8,1,0,1,0,1,1,0,3.14,9.0,12.38,4
272,Rylan Clark-Neal,1,4.5,9.0,13.5,1.69,5.76,7.449999999999999,1,0,1,1,0,0,1,2.98,10.69,9.0,4
321,Fred Sirieix,1,4.5,9.0,13.5,0.0,7.2,7.2,1,0,0,0,0,0,0,1.93,9.0,13.5,1
