Season,Episode,Defender,Captain,Opp1,Opp2,Opp3,VerdictTeam,Verdict1,Verdict2,Verdict3,Veracity
1,1,Dom Joly,Lee Mack,David Mitchell,Duncan Bannatyne,Frankie Boyle,FALSE,FALSE,TRUE,TRUE,TRUE
1,1,Duncan Bannatyne,David Mitchell,Lee Mack,Natalie Cassidy,Dom Joly,TRUE,TRUE,TRUE,TRUE,TRUE
1,1,Natalie Cassidy,Lee Mack,David Mitchell,Duncan Bannatyne,Frankie Boyle,TRUE,TRUE,TRUE,TRUE,FALSE
1,1,Lee Mack,Lee Mack,David Mitchell,Duncan Bannatyne,Frankie Boyle,TRUE,TRUE,TRUE,FALSE,FALSE
1,1,David Mitchell,David Mitchell,Lee Mack,Natalie Cassidy,Dom Joly,TRUE,TRUE,TRUE,TRUE,TRUE
1,1,Dom Joly,Lee Mack,David Mitchell,Duncan Bannatyne,Frankie Boyle,TRUE,TRUE,TRUE,FALSE,FALSE
1,1,Frankie Boyle,David Mitchell,Lee Mack,Natalie Cassidy,Dom Joly,FALSE,FALSE,FALSE,TRUE,TRUE
1,1,David Mitchell,David Mitchell,Lee Mack,Natalie Cassidy,Dom Joly,TRUE,TRUE,TRUE,TRUE,FALSE
1,2,John Barrowman,Lee Mack,David Mitchell,Patrick McGuiness,Fay Ripley,FALSE,FALSE,TRUE,FALSE,TRUE
1,2,Patrick McGuiness,David Mitchell,Lee Mack,John Barrowman,Dominic Wood,FALSE,FALSE,FALSE,FALSE,FALSE
1,2,Dominic Wood,Lee Mack,David Mitchell,Patrick McGuiness,Fay Ripley,TRUE,TRUE,TRUE,TRUE,FALSE
1,2,Fay Ripley,David Mitchell,Lee Mack,John Barrowman,Dominic Wood,FALSE,FALSE,FALSE,FALSE,TRUE
1,2,Lee Mack,Lee Mack,David Mitchell,Patrick McGuiness,Fay Ripley,FALSE,FALSE,FALSE,FALSE,FALSE
1,2,Patrick McGuiness,David Mitchell,Lee Mack,John Barrowman,Dominic Wood,FALSE,FALSE,TRUE,FALSE,FALSE
1,3,Ulrika Jonsson,Lee Mack,David Mitchell,Eamonn Holmes,Dara O Brien,FALSE,FALSE,FALSE,TRUE,TRUE
1,3,David Mitchell,David Mitchell,Lee Mack,Jimmy Carr,Ulrika Jonsson,FALSE,FALSE,TRUE,FALSE,TRUE
1,3,Jimmy Carr,Lee Mack,David Mitchell,Eamonn Holmes,Dara O Brien,TRUE,TRUE,TRUE,TRUE,FALSE
1,3,Eamonn Holmes,David Mitchell,Lee Mack,Jimmy Carr,Ulrika Jonsson,TRUE,TRUE,TRUE,TRUE,FALSE
1,3,Jimmy Carr,Lee Mack,David Mitchell,Eamonn Holmes,Dara O Brien,TRUE,TRUE,TRUE,TRUE,TRUE
1,3,Dara O Brien,David Mitchell,Lee Mack,Jimmy Carr,Ulrika Jonsson,FALSE,FALSE,FALSE,FALSE,FALSE
1,3,Eamonn Holmes,David Mitchell,Lee Mack,Jimmy Carr,Ulrika Jonsson,TRUE,TRUE,FALSE,FALSE,FALSE
1,4,Neil Morrissey,Lee Mack,David Mitchell,Myleene Klass,Jason Manford,FALSE,FALSE,FALSE,FALSE,FALSE
1,4,Jason Manford,David Mitchell,Lee Mack,Leslie Ash,Neil Morrissey,TRUE,TRUE,TRUE,TRUE,FALSE
